Pakistan Stock Exchange - COMPLETELY FIXED Data
Timestamp,2025-12-21 08:19:28
Total Valid Stocks,485
Supabase Upload,Yes
Fix Applied,Complete column mapping correction - All data validated

Symbol,Sector,Listed_In,LDCP,Open,High,Low,Current,Change,Change(%),Volume
NAGC,0830,ALLSHR,71.5,69.0,69.0,69.0,69.0,-2.5,-3.5,1000.0
LSEFSL,0813,ALLSHR,25.56,27.0,28.0,24.06,25.56,0.0,0.0,908.0
SASML,0826,ALLSHR,199.95,213.9,213.9,188.02,213.81,13.86,6.93,904.0
SHEZ,0810,"ALLSHR,KMIALLSHR",250.03,250.03,257.0,250.0,252.9,2.87,1.15,895.0
FML,0829,"ALLSHR,KMIALLSHR",69.02,69.02,69.98,69.01,69.05,0.03,0.04,854.0
ZTL,0831,"ALLSHR,KMIALLSHR",14.88,14.6,15.0,14.6,14.63,-0.25,-1.68,810.0
DMC,0830,"ALLSHR,KMIALLSHR",251.97,274.95,274.95,248.0,259.25,7.28,2.89,809.0
"GAMON
NC",0818,ALLSHR,23.38,23.93,23.93,23.15,23.26,-0.12,-0.51,786.0
WAHN,0805,"ALLSHR,KMIALLSHR",333.25,335.0,338.0,334.0,334.66,1.41,0.42,721.0
POWERPS,0804,ALLSHR,24.01,22.22,23.0,22.22,22.31,-1.7,-7.08,710.0
HAFL,0829,"ALLSHR,KMIALLSHR",593.75,580.0,599.0,534.38,548.3,-45.45,-7.66,666.0
ASIC,0812,ALLSHR,22.0,20.0,22.0,19.8,19.81,-2.19,-9.95,603.0
GEMMEL,0824,"ALLSHR,KMIALLSHR",26.58,29.24,29.24,26.0,28.78,2.2,8.28,538.0
ISIL,0810,"ALLSHR,KMIALLSHR",1935.1,1930.02,1933.01,1925.0,1930.6,-4.5,-0.23,528.0
AMBL,0813,ALLSHR,9.76,9.8,10.1,9.8,10.06,0.3,3.07,520.0
JSGCL,0813,ALLSHR,163.37,176.0,176.0,151.5,172.31,8.94,5.47,516.0
FRCL,0811,"ALLSHR,KMIALLSHR",86.68,82.35,86.0,82.35,85.01,-1.67,-1.93,504.0
"JATM
NC",0830,ALLSHR,23.45,23.6,23.7,23.6,23.45,0.0,0.0,484.0
ZIL,0810,"ALLSHR,KMIALLSHR",478.36,472.0,490.0,454.05,461.29,-17.07,-3.57,434.0
ELCM,0830,"ALLSHR,KMIALLSHR",207.95,207.0,227.7,201.1,215.17,7.22,3.47,427.0
PIM,0819,"ALLSHR,KMIALLSHR",22.45,22.39,22.39,22.39,22.45,0.0,0.0,426.0
ASLCPS,0808,ALLSHR,97.2,105.0,105.0,87.48,101.02,3.82,3.93,374.0
CHAS,0826,ALLSHR,70.31,70.0,73.6,70.0,70.31,0.0,0.0,352.0
KHYT,0829,"ALLSHR,KMIALLSHR",1800.61,1800.1,1840.0,1675.1,1784.0,-16.61,-0.92,329.0
PSEL,0818,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",1317.02,1339.95,1339.95,1280.0,1300.0,-17.02,-1.29,312.0
BATA,0816,"ALLSHR,KMIALLSHR",1245.0,1256.96,1256.96,1241.01,1245.0,0.0,0.0,304.0
TICL,0826,"ALLSHR,KMIALLSHR",746.56,746.56,754.95,701.0,702.06,-44.5,-5.96,287.0
JDWS,0826,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",842.24,842.24,860.0,842.24,859.44,17.2,2.04,269.0
CCM,0830,"ALLSHR,KMIALLSHR",51.27,48.65,54.99,48.65,51.27,0.0,0.0,264.0
AKGL,0818,"ALLSHR,KMIALLSHR",61.1,61.0,64.5,55.11,61.1,0.0,0.0,245.0
INKL,0829,ALLSHR,105.18,108.0,108.0,105.0,105.18,0.0,0.0,208.0
"ARPL
XD",0805,"ALLSHR,KMIALLSHR",427.94,427.95,430.0,427.0,427.0,-0.94,-0.22,184.0
CFL,0830,"ALLSHR,KMIALLSHR",54.58,54.6,60.0,54.6,54.58,0.0,0.0,176.0
ASLPS,0808,ALLSHR,22.67,22.6,22.6,22.6,22.67,0.0,0.0,172.0
MEHT,0829,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",293.88,312.5,312.5,281.05,285.8,-8.08,-2.75,162.0
GEMNETS,0828,"ALLSHR,KMIALLSHR",38.0,41.8,41.8,41.8,38.0,0.0,0.0,150.0
PRET,0830,ALLSHR,459.72,459.0,475.0,459.0,475.0,15.28,3.32,144.0
SCL,0810,"ALLSHR,KMIALLSHR",470.24,462.1,485.0,453.0,470.39,0.15,0.03,138.0
FZCM,0829,"ALLSHR,KMIALLSHR",228.09,237.0,237.0,213.01,234.98,6.89,3.02,132.0
NESTLE,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",7984.98,7955.25,8013.9,7900.0,7982.8,-2.18,-0.03,131.0
AHTM,0829,"ALLSHR,KMIALLSHR",88.11,91.96,94.4,82.0,88.11,0.0,0.0,131.0
PMRS,0826,ALLSHR,321.31,315.01,343.0,301.0,314.03,-7.28,-2.27,125.0
ALNRS,0826,"ALLSHR,KMIALLSHR",109.98,102.01,109.01,102.01,109.98,0.0,0.0,104.0
JSCLPSA,0813,ALLSHR,10.13,10.05,10.05,10.05,10.13,0.0,0.0,100.0
"FSWL
NC",0829,ALLSHR,101.21,107.99,107.99,107.99,102.82,1.61,1.59,100.0
SHSML,0826,"ALLSHR,KMIALLSHR",466.76,465.04,484.0,465.04,482.96,16.2,3.47,97.0
STL,0828,"ALLSHR,KMIALLSHR",1504.63,1549.98,1549.98,1540.0,1504.63,0.0,0.0,92.0
SFL,0829,ALLSHR,1215.08,1213.95,1249.0,1201.0,1215.0,-0.08,-0.01,72.0
PIAHCLB,0813,ALLSHR,23000.0,23290.0,23470.0,22801.0,23135.5,135.5,0.59,59.0
EFUG,0812,ALLSHR,122.99,122.99,123.79,121.0,122.99,0.0,0.0,58.0
ANTM,0829,"ALLSHR,KMIALLSHR",32.5,33.0,34.0,33.0,32.5,0.0,0.0,53.0
KCL,0811,"ALLSHR,KMIALLSHR",171.86,181.0,189.05,159.1,171.86,0.0,0.0,46.0
"IML
NC",0813,ALLSHR,23.99,23.64,23.99,23.64,23.99,0.0,0.0,44.0
AABS,0826,"ALLSHR,KMIALLSHR",1036.87,1026.01,1048.9,1026.01,1035.08,-1.79,-0.17,31.0
BHAT,0829,"ALLSHR,KMIALLSHR",922.8,910.0,973.0,852.01,922.8,0.0,0.0,27.0
RCML,0830,"ALLSHR,KMIALLSHR",528.78,544.99,544.99,518.7,528.78,0.0,0.0,20.0
SHJS,0826,ALLSHR,199.22,181.02,198.99,181.02,199.22,0.0,0.0,19.0
GEMBLUEX,0833,"ALLSHR,KMIALLSHR",81.5,73.36,73.36,73.35,81.5,0.0,0.0,18.0
NSRM,0827,"ALLSHR,KMIALLSHR",182.43,178.0,180.0,175.0,182.43,0.0,0.0,17.0
PSYL,0827,"ALLSHR,KMIALLSHR",67.94,68.0,71.48,67.99,67.94,0.0,0.0,16.0
UPFL,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",28998.0,28850.0,29000.0,28850.0,28855.0,-143.0,-0.49,12.0
AGLNCPS,0805,ALLSHR,31.88,28.7,35.07,28.7,31.88,0.0,0.0,11.0
SIEM,0803,"ALLSHR,KMIALLSHR",1533.29,1521.0,1521.0,1512.01,1533.29,0.0,0.0,4.0
BTL,0829,"ALLSHR,KMIALLSHR",307.17,306.1,306.1,306.1,307.17,0.0,0.0,3.0
KPUS,0826,"ALLSHR,KMIALLSHR",141.02,140.03,140.03,140.02,141.02,0.0,0.0,3.0
PRWM,0831,ALLSHR,46.0,47.5,47.5,47.5,46.0,0.0,0.0,3.0
ARPAK,0818,ALLSHR,57.06,62.0,62.0,62.0,57.06,0.0,0.0,1.0
DIIL,0818,"ALLSHR,KMIALLSHR",53.53,58.79,58.79,58.79,53.53,0.0,0.0,1.0
DINT,0830,"ALLSHR,KMIALLSHR",63.83,68.8,68.8,68.8,63.83,0.0,0.0,1.0
ELSM,0830,"ALLSHR,KMIALLSHR",123.81,0.0,0.0,0.0,123.81,0.0,0.0,1.0
FIMM,0819,"ALLSHR,KMIALLSHR",261.97,256.0,256.0,256.0,261.97,0.0,0.0,1.0
GEMPACRA,0818,"ALLSHR,KMIALLSHR",35.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0
"PECO
NC",0808,ALLSHR,420.95,427.99,427.99,427.99,420.95,0.0,0.0,1.0
TSML,0826,ALLSHR,192.09,190.01,190.01,190.01,192.09,0.0,0.0,1.0
LSEVLR,0813,ALLSHR,1.79,0.0,0.0,0.0,1.79,-1.0,-14.73,0.0
