Pakistan Stock Exchange - COMPLETELY FIXED Data
Timestamp,2025-12-17 21:34:32
Total Valid Stocks,482
Fix Applied,Complete column mapping correction - All data validated

Symbol,Sector,Listed_In,LDCP,Open,High,Low,Current,Change,Change(%),Volume
FASM,0829,ALLSHR,310.09,329.89,329.9,286.2,288.42,-21.67,-6.99,127.0
STL,0828,"ALLSHR,KMIALLSHR",1550.0,1550.02,1550.02,1500.0,1504.63,-45.37,-2.93,126.0
AKGL,0818,"ALLSHR,KMIALLSHR",61.1,61.1,61.1,55.1,61.1,0.0,0.0,117.0
AMBL,0813,ALLSHR,9.76,10.7,10.7,9.13,9.76,0.0,0.0,109.0
"FSWL
NC",0829,ALLSHR,100.43,102.61,109.0,102.5,100.43,0.0,0.0,89.0
ISIL,0810,"ALLSHR,KMIALLSHR",1983.83,1930.0,1979.93,1930.0,1935.1,-48.73,-2.46,85.0
FTMM,0819,"ALLSHR,KMIALLSHR",19.47,19.27,19.75,19.27,19.47,0.0,0.0,84.0
BATA,0816,"ALLSHR,KMIALLSHR",1246.09,1246.0,1246.0,1241.5,1243.69,-2.4,-0.19,80.0
AABS,0826,"ALLSHR,KMIALLSHR",1043.96,1042.0,1042.0,1035.01,1036.01,-7.95,-0.76,77.0
SHSML,0826,"ALLSHR,KMIALLSHR",499.0,480.0,480.02,473.0,479.9,-19.1,-3.83,74.0
CHAS,0826,ALLSHR,73.83,69.83,74.0,69.82,73.83,0.0,0.0,74.0
PIAHCLB,0813,ALLSHR,23200.0,23599.0,23635.0,23000.0,23070.0,-130.0,-0.56,73.0
SASML,0826,ALLSHR,204.0,203.99,203.99,190.0,204.0,0.0,0.0,71.0
"PECO
NC",0808,ALLSHR,425.0,420.25,429.5,413.25,428.17,3.17,0.75,71.0
ZIL,0810,"ALLSHR,KMIALLSHR",481.11,471.01,480.49,471.01,478.18,-2.93,-0.61,65.0
NESTLE,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",7950.97,7950.97,8023.98,7950.97,8000.0,49.03,0.62,62.0
TICL,0826,"ALLSHR,KMIALLSHR",734.74,744.95,744.95,736.0,734.74,0.0,0.0,55.0
FRCL,0811,"ALLSHR,KMIALLSHR",89.6,85.31,89.7,85.31,89.6,0.0,0.0,53.0
ARPAK,0818,ALLSHR,57.06,58.8,58.8,58.8,57.06,0.0,0.0,52.0
OLPL,0813,ALLSHR,49.68,48.59,49.25,48.59,49.68,0.0,0.0,52.0
DMC,0830,"ALLSHR,KMIALLSHR",275.0,288.77,288.77,288.75,275.0,0.0,0.0,49.0
"FIL
NC",0816,ALLSHR,167.74,178.0,178.0,154.0,167.74,0.0,0.0,48.0
CFL,0830,"ALLSHR,KMIALLSHR",59.82,62.27,62.27,54.01,59.82,0.0,0.0,29.0
ALIFE,0812,ALLSHR,35.49,35.45,35.45,32.61,35.49,0.0,0.0,27.0
NSRM,0827,"ALLSHR,KMIALLSHR",181.28,182.0,182.0,178.0,181.28,0.0,0.0,19.0
RMPL,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",9379.99,9301.0,9393.1,9301.0,9378.32,-1.67,-0.02,14.0
SIEM,0803,"ALLSHR,KMIALLSHR",1536.15,1559.8,1559.95,1559.8,1536.15,0.0,0.0,13.0
SAPT,0829,"ALLSHR,KMIALLSHR",1396.0,1375.01,1375.01,1370.0,1396.0,0.0,0.0,12.0
RCML,0830,"ALLSHR,KMIALLSHR",528.78,512.0,539.0,512.0,528.78,0.0,0.0,5.0
UPFL,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",29125.0,28800.0,29000.0,28800.0,29000.0,-125.0,-0.43,4.0
"SUHJ
NC",0814,ALLSHR,94.11,95.99,95.99,93.0,94.11,0.0,0.0,4.0
AGLNCPS,0805,ALLSHR,31.88,0.0,0.0,0.0,31.88,0.0,0.0,3.0
BHAT,0829,"ALLSHR,KMIALLSHR",858.23,860.0,888.0,860.0,858.23,0.0,0.0,3.0
FIMM,0819,"ALLSHR,KMIALLSHR",261.97,255.01,255.02,255.01,261.97,0.0,0.0,2.0
GOC,0818,"ALLSHR,KMIALLSHR",115.17,111.0,119.96,111.0,115.17,0.0,0.0,2.0
KCL,0811,"ALLSHR,KMIALLSHR",171.86,160.0,160.0,160.0,171.86,0.0,0.0,1.0
STML,0829,"ALLSHR,KMIALLSHR",31.71,33.32,33.32,33.32,31.71,0.0,0.0,1.0
SZTM,0830,"ALLSHR,KMIALLSHR",56.45,0.0,0.0,0.0,56.45,0.0,0.0,1.0
ZTL,0831,"ALLSHR,KMIALLSHR",14.9,0.0,0.0,0.0,14.9,0.0,0.0,1.0
